event_slug,style,teams,avg_total_ppg,avg_kill_share,avg_top5_rate,avg_kills_per_game,avg_place_ppg,team_share_pct,event_label
playoffs_split1,edge_fighting_proxy,13,4.536968623481782,0.5577669243719325,0.15227732793522267,2.5416919703103913,1.9952766531713901,32.5,Split 1
playoffs_split1,hybrid_high_yield,7,6.800360275689223,0.5464421090912338,0.29965538847117795,3.7434210526315788,3.0569392230576438,17.5,Split 1
playoffs_split1,low_yield_or_unstable,7,4.107330827067669,0.4689150558058606,0.17650375939849625,1.9264411027568922,2.1808897243107768,17.5,Split 1
playoffs_split1,zone_control_proxy,13,6.1329453441295545,0.4577592164380779,0.33873144399460187,2.841430499325236,3.2915148448043183,32.5,Split 1
midseason_ewc_split1,edge_fighting_proxy,11,4.859623907054737,0.5647700345041504,0.13767517067912324,2.7381662474547848,2.121457659599952,27.5,EWC
midseason_ewc_split1,hybrid_high_yield,9,5.94951690821256,0.5371308429542521,0.29758454106280197,3.202415458937198,2.7471014492753625,22.5,EWC
midseason_ewc_split1,low_yield_or_unstable,7,3.3161490683229817,0.4787790878784207,0.09813664596273293,1.601863354037267,1.7142857142857142,17.5,EWC
midseason_ewc_split1,zone_control_proxy,13,6.49857606161954,0.47066975150550916,0.3256308908482822,3.07100435796088,3.42757170365866,32.5,EWC
playoffs_split2,edge_fighting_proxy,12,4.339419934640523,0.5763776885659776,0.14354575163398695,2.4761437908496733,1.8632761437908496,30.0,Split 2
playoffs_split2,hybrid_high_yield,8,6.72297794117647,0.5579066206177671,0.29117647058823526,3.770404411764706,2.9525735294117648,20.0,Split 2
playoffs_split2,low_yield_or_unstable,7,3.567857142857143,0.4741027445460943,0.14404761904761904,1.6857142857142857,1.8821428571428573,17.5,Split 2
playoffs_split2,zone_control_proxy,13,6.581711915535445,0.46432953127068094,0.3495475113122172,3.0702865761689293,3.511425339366516,32.5,Split 2
championship_split2,edge_fighting_proxy,12,4.705487740713459,0.5686127445482686,0.15286839243747588,2.6920665403907535,2.013421200322705,30.0,Championship
championship_split2,hybrid_high_yield,8,6.460887727183897,0.5296205629229295,0.30444352159468435,3.4206444205589213,3.0402433066249754,20.0,Championship
championship_split2,low_yield_or_unstable,8,4.005971798379459,0.47524417964243604,0.16704593286330632,1.9037672314006104,2.1022045669788487,20.0,Championship
championship_split2,zone_control_proxy,12,6.449017352916122,0.48285627324948727,0.33875079548814163,3.1084472071476177,3.3405701457685044,30.0,Championship
