event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,weapon_key,weapon,kills,damage,knockdowns,times_knocked,fwr_pct,shots,hits,accuracy,playtime,playtime_seconds,max_kill_range,max_damage_range,icon,stage,game_label,game_number,map_name,stats_url,replay_url,title,category,total_kills,total_damage,kill_share_pct,damage_share_pct,event_label
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Mozambique,Mozambique Shotgun,21,1843,68.0,85.0,44.44,1360,137,10.07%,2h 6m 12s,7572,32.14,32.21,Mozambique_Shotgun_Icon.svg,,,,,,,,Shotgun,3508,2545007,0.5986316989737742,0.07241630376655153,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Bocek,Bocek Compound Bow,21,21017,41.0,7.0,85.42,-,369,-,2h 2m 11s,7331,152.69,248.64,Bocek_Compound_Bow_Icon.svg,,,,,,,,Precision,3508,2545007,0.5986316989737742,0.8258130527735287,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Hemlok,Hemlok,20,31395,43.0,19.0,69.35,14941,1953,13.07%,10h 57m 2s,39422,155.38,271.75,Hemlok_Burst_AR_Icon.svg,,,,,,,,AR,3508,2545007,0.5701254275940707,1.233591891888706,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Kraber,Kraber .50-Cal Sniper,18,17411,51.0,11.0,82.26,-,143,-,2h 27m 35s,8855,105.5,217.28,Kraber_.50-Cal_Sniper_Icon.svg,,,,,,,,Precision,3508,2545007,0.5131128848346637,0.6841238550620883,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Spitfire,M600 Spitfire,18,21813,42.0,24.0,63.64,14179,1450,10.23%,8h 43m 2s,31382,52.93,371.24,M600_Spitfire_Icon.svg,,,,,,,,LMG,3508,2545007,0.5131128848346637,0.8570899804990714,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Longbow,Longbow DMR,17,42621,55.0,33.0,62.5,4401,891,20.25%,9h 22m 29s,33749,126.64,373.87,Longbow_DMR_Icon.svg,,,,,,,,Precision,3508,2545007,0.4846066134549601,1.6746908751135066,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,L-STAR,L-STAR EMG,17,11795,32.0,27.0,54.24,5376,782,14.55%,3h 44m 24s,13464,86.5,234.29,L-STAR_EMG_Icon.svg,,,,,,,,LMG,3508,2545007,0.4846066134549601,0.4634564855813756,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Sentinel,Sentinel,10,36442,39.0,14.0,73.58,2088,525,25.14%,9h 59m 35s,35975,90.15,436.75,Sentinel_Icon.svg,,,,,,,,Precision,3508,2545007,0.28506271379703535,1.4319017590128436,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,R-99,R-99 SMG,8,4629,18.0,,,-,449,-,0h 0m 0s,0,41.11,93.3,R-99_SMG_Icon.svg,,,,,,,,SMG,3508,2545007,0.22805017103762829,0.18188555080595062,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Volt,Volt SMG,5,1428,9.0,3.0,75.0,1514,130,8.59%,1h 6m 9s,3969,61.78,141.47,Volt_SMG_Icon.svg,,,,,,,,SMG,3508,2545007,0.14253135689851767,0.05610986531667693,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Rampage,Rampage LMG,4,3337,10.0,2.0,83.33,1291,167,12.94%,1h 8m 20s,4100,76.12,242.28,Rampage_LMG_Icon.svg,,,,,,,,LMG,3508,2545007,0.11402508551881414,0.1311194821861001,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Prowler,Prowler Burst PDW,3,1132,5.0,5.0,50.0,905,87,9.61%,0h 31m 4s,1864,53.39,123.33,Prowler_Burst_PDW_Icon.svg,,,,,,,,SMG,3508,2545007,0.08551881413911061,0.04447924897652541,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Alternator,Alternator SMG,2,351,2.0,1.0,66.67,1282,26,2.03%,0h 56m 37s,3397,35.7,99.93,Alternator_SMG_Icon.svg,,,,,,,,SMG,3508,2545007,0.05701254275940707,0.01379171059254454,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,P2020,P2020,2,364,5.0,1.0,83.33,372,24,6.45%,0h 25m 57s,1557,60.38,107.99,P2020_Icon.svg,,,,,,,,Pistol/Akimbo,3508,2545007,0.05701254275940707,0.014302514688564708,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Devotion,Devotion LMG,1,250,2.0,,,650,28,4.31%,0h 49m 47s,2987,5.62,248.35,Devotion_LMG_Icon.svg,,,,,,,,LMG,3508,2545007,0.028506271379703536,0.00982315569269554,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,Wingman,Wingman,1,307,1.0,,,184,8,4.35%,0h 33m 21s,2001,61.29,125.89,Wingman_Icon.svg,,,,,,,,Precision,3508,2545007,0.028506271379703536,0.012062835190630124,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,RE-45,RE-45,0,20,,,,587,2,0.34%,0h 30m 45s,1845,0.0,4.33,RE-45_Auto_Icon.svg,,,,,,,,Pistol/SMG,3508,2545007,0.0,0.0007858524554156432,Championship
championship_split2,ALGS Year 4 Championship,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,Y4-Split2,ALGS-Championships,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Championships/Global/Overview,overview,C.A.R.,C.A.R.,0,747,1.0,1.0,50.0,1041,65,6.24%,0h 27m 25s,1645,0.0,73.36,C.A.R._SMG_Icon.svg,,,,,,,,SMG,3508,2545007,0.0,0.029351589209774275,Championship
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,HAVOC,HAVOC Rifle,758,303059,1455.0,882.0,62.26,80355,18159,22.6%,47h 46m 35s,171995,103.43,240.05,HAVOC_Rifle_Icon.svg,,,,,,,,AR,2235,1337366,33.914988814317674,22.66088714682443,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Hemlok,Hemlok,471,358628,834.0,274.0,75.27,128470,19266,15%,81h 38m 14s,293894,236.01,362.68,Hemlok_Burst_AR_Icon.svg,,,,,,,,AR,2235,1337366,21.073825503355703,26.81599502305278,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Volt,Volt SMG,201,70935,370.0,251.0,59.58,25912,5114,19.74%,13h 56m 39s,50199,68.53,128.1,Volt_SMG_Icon.svg,,,,,,,,SMG,2235,1337366,8.993288590604028,5.304082801566661,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Nemesis,Nemesis Burst AR,118,95466,219.0,82.0,72.76,42734,6502,15.22%,26h 1m 55s,93715,187.8,339.74,Nemesis_Burst_AR_Icon.svg,,,,,,,,AR,2235,1337366,5.279642058165548,7.138360030088996,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Flatline,VK-47 Flatline,98,58986,187.0,112.0,62.54,25155,3599,14.31%,16h 34m 9s,59649,130.7,292.99,VK-47_Flatline_Icon.svg,,,,,,,,AR,2235,1337366,4.384787472035794,4.410610109723143,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Prowler,Prowler Burst PDW,84,28910,162.0,91.0,64.03,10092,2112,20.93%,5h 8m 35s,18515,41.33,233.0,Prowler_Burst_PDW_Icon.svg,,,,,,,,SMG,2235,1337366,3.7583892617449663,2.1617119023513385,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,L-STAR,L-STAR EMG,75,25902,142.0,82.0,63.39,9447,1687,17.86%,4h 47m 0s,17220,44.4,190.62,L-STAR_EMG_Icon.svg,,,,,,,,LMG,2235,1337366,3.3557046979865772,1.9367921720755574,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,G7Scout,G7 Scout,59,74129,108.0,28.0,79.41,18275,2413,13.2%,19h 32m 23s,70343,157.22,356.77,G7_Scout_Icon.svg,,,,,,,,Precision,2235,1337366,2.639821029082774,5.5429104672916765,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,TripleTake,Triple Take,55,51384,98.0,20.0,83.05,5151,2529,49.1%,13h 32m 0s,48720,231.97,379.77,Triple_Take_Icon.svg,,,,,,,,Precision,2235,1337366,2.460850111856823,3.842179328620587,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,30-30,30-30 Repeater,41,71176,80.0,15.0,84.21,10980,1621,14.76%,18h 42m 1s,67321,236.21,373.38,30-30_Repeater_Icon.svg,,,,,,,,Precision,2235,1337366,1.8344519015659955,5.322103298573465,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Sentinel,Sentinel,33,51373,75.0,18.0,80.65,2766,674,24.37%,12h 42m 34s,45754,210.72,471.33,Sentinel_Icon.svg,,,,,,,,Precision,2235,1337366,1.476510067114094,3.841356816309073,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Wingman,Wingman,25,7568,45.0,12.0,78.95,1330,171,12.86%,2h 24m 56s,8696,116.96,166.4,Wingman_Icon.svg,,,,,,,,Precision,2235,1337366,1.1185682326621924,0.5658884703215126,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Devotion,Devotion LMG,20,8140,36.0,,,-,519,-,0h 0m 0s,0,58.72,177.9,Devotion_LMG_Icon.svg,,,,,,,,LMG,2235,1337366,0.8948545861297539,0.6086591105202316,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Peacekeeper,Peacekeeper,18,5895,33.0,24.0,57.89,196,636,-,0h 46m 25s,2785,27.94,79.13,Peacekeeper_Icon.svg,,,,,,,,Shotgun,2235,1337366,0.8053691275167785,0.4407918251249097,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,R-301,R-301 Carbine,14,7413,24.0,16.0,60.0,4401,654,14.86%,2h 56m 40s,10600,67.93,271.8,R-301_Carbine_Icon.svg,,,,,,,,AR,2235,1337366,0.6263982102908278,0.5542985241138177,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Alternator,Alternator SMG,13,7805,29.0,35.0,45.31,3234,530,16.39%,2h 22m 47s,8567,14.68,70.51,Alternator_SMG_Icon.svg,,,,,,,,SMG,2235,1337366,0.5816554809843401,0.5836098719423105,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,ChargeRifle,Charge Rifle,13,14935,24.0,,,989,173,17.49%,3h 32m 39s,12759,231.84,407.47,Charge_Rifle_Icon.svg,,,,,,,,Precision,2235,1337366,0.5816554809843401,1.1167473974962725,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Bocek,Bocek Compound Bow,11,10051,25.0,1.0,96.15,-,176,-,0h 43m 28s,2608,110.35,223.35,Bocek_Compound_Bow_Icon.svg,,,,,,,,Precision,2235,1337366,0.49217002237136465,0.7515519311841335,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Longbow,Longbow DMR,10,9854,19.0,3.0,86.36,1112,198,17.81%,2h 24m 0s,8640,210.73,436.44,Longbow_DMR_Icon.svg,,,,,,,,Precision,2235,1337366,0.44742729306487694,0.7368214834233859,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Kraber,Kraber .50-Cal Sniper,9,4071,19.0,5.0,79.17,-,32,-,0h 44m 59s,2699,69.95,180.3,Kraber_.50-Cal_Sniper_Icon.svg,,,,,,,,Precision,2235,1337366,0.40268456375838924,0.304404329106617,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,EVA-8,EVA-8 Auto,8,1329,15.0,,,-,206,-,0h 0m 0s,0,16.42,26.96,EVA-8_Auto_Icon.svg,,,,,,,,Shotgun,2235,1337366,0.3579418344519016,0.09937444200017048,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Rampage,Rampage LMG,6,6155,9.0,6.0,60.0,3639,253,6.95%,2h 44m 43s,9883,86.64,271.85,Rampage_LMG_Icon.svg,,,,,,,,LMG,2235,1337366,0.2684563758389262,0.4602330252152365,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,R-99,R-99 SMG,4,3401,9.0,15.0,37.5,1969,329,16.71%,0h 58m 10s,3490,13.83,127.94,R-99_SMG_Icon.svg,,,,,,,,SMG,2235,1337366,0.1789709172259508,0.2543058519507749,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Spitfire,M600 Spitfire,4,2489,9.0,6.0,60.0,1728,146,8.45%,0h 48m 28s,2908,48.63,164.45,M600_Spitfire_Icon.svg,,,,,,,,LMG,2235,1337366,0.1789709172259508,0.18611210394162855,EWC
midseason_ewc_split1,ALGS Year 4 Midseason Playoffs / EWC,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,Y4-Split1,EWC,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/EWC/Global/Overview,overview,Mozambique,Mozambique Shotgun,3,863,6.0,3.0,66.67,144,58,40.28%,0h 13m 47s,827,7.09,26.49,Mozambique_Shotgun_Icon.svg,,,,,,,,Shotgun,2235,1337366,0.1342281879194631,0.06452982953058474,EWC
