event_slug,game_id,team_rows
championship_split2,08aa514feeced6e2700f5f1d30e31930,20
championship_split2,0a8f9e177d1ad8c72a7c9bc35d424b17,20
championship_split2,15b3af1b53a1efe9b7de824d0c8359dd,20
championship_split2,1919ee01dfa7a9f8a0761e31d38abce6,20
championship_split2,1975b23578215c901869999cc7e191b8,20
championship_split2,1a8fc6dc5d432072799bdc9461f6f137,20
championship_split2,1aeaec94906577a0700501eeeeda8dc6,20
championship_split2,1aef58b6dd370abf463aff49fa2db113,20
championship_split2,20000762e874f3c64eaa2f3d3adcedc0,20
championship_split2,27846e64ef6b95d939f73daaf24bccc2,20
championship_split2,29de396a22d298d1ac338c2beae1c6e9,20
championship_split2,2fd4662ae572b23186a460ea15433e35,20
championship_split2,3347a03bc149a736ea39582fffb2d6cc,20
championship_split2,38cfd7134ffd6cac722f8712519cd793,20
championship_split2,3a3ff25c28990c001f263a5211cb3fb6,20
championship_split2,3efddbcd0312cf67b223d7daa4c8e6fe,20
championship_split2,3f9b82d30a1d6f3c9f31ecdd2722caa6,20
championship_split2,432376b187d37d271022434ba8ce73a8,20
championship_split2,446499e04861f74ce0ca0f816b2a73ab,20
championship_split2,46256146833b536d73e017eb78bbeb87,20
championship_split2,4f457d5a6eb80194675c6f6a06f7eb3b,20
championship_split2,51a4959e61c778dc3f2de2c612b89041,20
championship_split2,5470dd75560021da890cfd3f40012165,20
championship_split2,5e95e681bad467845c3c97761c48d45a,20
championship_split2,60f62796650afdfd272c61ffab60858b,20
championship_split2,611faa1c3ade3871fc2e15dc72ab4534,20
championship_split2,61836d560fe92404cb8c6deca00a4b50,20
championship_split2,61930f07ff06819323fecae2ce370745,20
championship_split2,62ba8cb3b750321cb7320742d1e359ba,20
championship_split2,67d928da9d66f1f2af210ef45caa532e,20
championship_split2,6d09499ab0504bf733dbb1609efa8122,20
championship_split2,71c5c8216a099030a4bdd35c4dd554a4,20
championship_split2,773304cd834f1add9dd291a56c2425c1,20
championship_split2,77b3a5077b34a60f8af502f9ae04fac8,20
championship_split2,854332f5ab2f326831817ba754a33762,20
championship_split2,8582606428dd495085b61cdbf172f3e6,20
championship_split2,90b5a3acf39d75b568b3eb5cfcd09b99,20
championship_split2,959c495d02d59c002ef327f42171349c,20
championship_split2,96fbd7f8bccc9607f29ee1295f4506de,20
championship_split2,9d93524307ff6fd6e3d05529f33b4e06,20
championship_split2,a08cd3beab5d3843d00dee4b104b6ac9,20
championship_split2,a1797ee7bf53ec7d9147ff4c1e2121dc,20
championship_split2,a1fc5ffd72964b70d8056428889ead41,20
championship_split2,a21050c58b165cf5e9c7e69614a61b95,20
championship_split2,a63b1ab92f6aa91d94e1b1d2b4e00adc,20
championship_split2,adb5006f49fc805d9b04014822675150,20
championship_split2,b0d1bd61596e13b625341ae4311c052d,20
championship_split2,b38336b83717d221e7076442b54e616c,20
championship_split2,b5c384ad4ce1bf6f6cb254a79b70432d,20
championship_split2,b703bc14e90a1507dfc358252c499c46,20
championship_split2,bc819c38781df5733d5dd2801f710a59,20
championship_split2,bd19433e41355bf44089518248e9eb8f,20
championship_split2,c117cce4ddbdcf72be42b060a12987a7,20
championship_split2,c77bea1584c333efde7e6f4024c5f832,20
championship_split2,cb7e29e9533624758bde65cc722f74e1,20
championship_split2,cf04a9060204c33ddc105bc55d172526,20
championship_split2,d2baea01ef77003fa80b2e41788a3da8,20
championship_split2,d42ac286adf281ab62665b0f48c0ffc7,20
championship_split2,d4d43c27ce745949ce8d2139aac591b5,20
championship_split2,d5a8375044e0f849168cbf3adb30ac2c,20
championship_split2,d99dff44bcf752b4095a53be15e678b6,20
championship_split2,dbfbca8914ff0e128268444bf2f84dae,20
championship_split2,e45ccacbc95fbc8b55fcdee2830edeef,20
championship_split2,e4fa7a344aee5ed7080e9b6b0b34eeb8,20
championship_split2,e8aae35f000c3e3afd7896c56b858672,20
championship_split2,f042069dec0efd9f39f85cb8eb97eec7,20
championship_split2,f2ece1548c01981e6f6179e42f325c32,20
championship_split2,f9f25d09fa3c20d1428b2e2836027bfe,20
championship_split2,fcb75e159e92046e2da9213407f736ec,20
midseason_ewc_split1,020ce14ab661dfbf2460b1c2022f344f,20
midseason_ewc_split1,062103851589fe2d336c803eca804d2b,20
midseason_ewc_split1,06f15898f6f5daf51a82e69683fa7aa1,20
midseason_ewc_split1,09125579fb033849bb42e2c31cafd1fc,20
midseason_ewc_split1,092045e0455d0a72d64a8effdb0e8f5c,20
midseason_ewc_split1,0a0d4255674cbcb0221f28ff63fb15ed,20
midseason_ewc_split1,1affff70a7c11dc59d72d8fce075405a,20
midseason_ewc_split1,1e5e3ecf2cfe3692fa563ddf4b6fd626,20
midseason_ewc_split1,2aa6aee36e26712f48c7389a60a89571,20
midseason_ewc_split1,35e659bf50e8f22d1bc040697117c978,20
midseason_ewc_split1,37f2277437a21e770c5765d98819e078,20
midseason_ewc_split1,3f8153bc005bd1e590b7238f0217fa74,20
midseason_ewc_split1,42656f28617fc0e239cc1248c9d81627,20
midseason_ewc_split1,43492be9f54ba00cc2c947a0ea8a1649,20
midseason_ewc_split1,4c1d2235d5e48ebdadfc97dd6beeaeca,20
midseason_ewc_split1,518306dba23e30fad1c68e5b8fc96993,20
midseason_ewc_split1,598b6b3aff951f84cf998a70b2f595c5,20
midseason_ewc_split1,6222816c506ae116d265a92079a71722,20
midseason_ewc_split1,63f5dae98f4f71d77e656c80dea0ae59,20
midseason_ewc_split1,698bc6a7c5a8a16be8ed706e23469532,20
midseason_ewc_split1,6a50270864307bf3078783013a76b432,20
midseason_ewc_split1,6a621a7e5d3c66e1e9a75d2dc0e85816,20
midseason_ewc_split1,7368aa9d33e15a1c8bf26a9941304ebe,20
midseason_ewc_split1,7dfb4bd45895fbff1ec8b825bfde966e,20
midseason_ewc_split1,88e1e7c1632fe20dc94f1d805b35c5bb,20
midseason_ewc_split1,88e4671f52eb8644d274e25a37c92e89,20
midseason_ewc_split1,8d256aec30188b3471c0ea64698764e4,20
midseason_ewc_split1,9947695356b96bc2a4db7c72e763ebf8,20
