event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,table_index,table_type,table_heading,row_number,player,team,best_p,games,kills,assists,knocks,times_knocked,dmg_dealt,dmg_taken,dmg_diff,dmg_per_kill,ring_dmg,rez,rspn,k_per_d,ka_per_d,deaths,surv_time,avg_time_to_first_kill,top_10_pct,t10_to_t5_pct,t5_to_t1_pct
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,107,OLP Vlatow,OLIMPO,2nd,24,15,11,18,29,"9,409","12,169","-2,760",627.27,"1,315",3,0,0.58,1,26,6h 17m 22s,,29.2%,57.1%,0%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,108,C9 ChaoticMuch,Cloud9,1st,40,47,34,55,41,"29,278","22,799","6,479",622.94,758,3,1,1.27,2.19,37,11h 13m 35s,,52.5%,47.6%,30%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,109,RC Kernel garcia,REJECT WINNITYJP,1st,30,18,15,24,32,"12,812","14,265","-1,453",711.78,430,4,1,0.6,1.1,30,8h 15m 29s,,43.3%,53.8%,14.3%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,110,EXO Feuda,Exo Clan,1st,40,51,39,56,50,"25,778","24,347","1,431",505.45,495,10,0,1.16,2.05,44,10h 28m 58s,,52.5%,33.3%,14.3%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,111,NOC RemixPowers,Noctem Scan,1st,40,48,40,54,43,"22,281","23,895","-1,614",464.19,512,11,1,1.14,2.1,42,10h 23m 58s,,45%,50%,11.1%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,112,GG Blasts,GaiminGladiators,1st,34,59,41,70,43,"22,611","24,768","-2,157",383.24,800,5,0,2.03,3.45,29,10h 54m 42s,,70.6%,75%,33.3%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,113,MKS ASIAZXD,MKERS,1st,40,31,32,40,42,"22,432","20,363","2,069",723.61,"2,248",6,0,0.78,1.58,40,10h 54m 48s,,42.5%,41.2%,14.3%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,114,SWQ crazycong,SWQ,1st,30,10,33,15,29,"9,114","8,727",387,911.4,"1,674",5,4,0.36,1.54,28,7h 19m 58s,,26.7%,12.5%,100%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,115,LGND Amphy,Legends Gaming,1st,12,17,14,19,18,"5,266","8,452","-3,186",309.76,360,0,2,1.31,2.38,13,3h 50m 22s,,60%,44.4%,12.5%
playoffs_split2,ALGS Year 4 Split 2 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,Y4-Split2,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split2/ALGS-Playoffs/Global/Overview,overview,85,player_stats,Scores,116,KCP gent,Pioneers,2nd,24,22,20,32,27,"15,211","14,072","1,139",691.41,"1,464",0,2,0.92,1.75,24,7h 17m 5s,,45.8%,45.5%,0%
