event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,table_index,table_type,table_heading,row_number,team,games,best_p,avg_p,kills,place_pts,total_pts,knocks,times_knocked,dmg_dealt,dmg_taken,dmg_diff,dmg_per_kill,ring_dmg,rez,rspn,k_per_d,ka_per_d,deaths,surv_time,avg_fastest_first_kill,top_1s,top_2s,top_3s,top_5s,top_10s,top_15s,top_20s,top_10_pct,t10_to_t5_pct,t5_to_t1_pct,assists
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,12,FURIA,30,1st,10.4,95,66,161,114,104,"52,610","51,976",634,553.79,"2,200",15,6,1.02,2.1,93,23h 50m 57s,10m 15s,1,1,2,5,16,26,30,53.3%,31.3%,20%,100
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,13,Aurora,32,2nd,8.3,135,112,247,156,140,"61,143","78,509","-17,366",452.91,"19,476",36,15,1.22,2.44,111,29h 18s,10m 59s,0,6,9,11,20,29,32,62.5%,55%,0%,136
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,14,Legends Gaming,38,1st,10.1,113,112,225,137,132,"68,964","65,812","3,152",610.3,"3,421",18,5,1,2.11,113,28h 53m 47s,10m 53s,2,5,5,12,22,28,38,57.9%,54.5%,16.7%,125
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,15,RED Rams,30,1st,12.8,67,55,122,79,115,"35,535","48,438","-12,903",530.37,"8,411",24,8,0.7,1.3,96,21h 17m 56s,9m 33s,1,2,3,5,10,16,30,33.3%,50%,20%,58
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,16,DarkZero,32,1st,6.7,177,179,356,197,100,"84,230","69,431","14,799",475.88,"3,297",22,2,2.21,4.25,80,30h 1m 33s,11m 23s,6,11,15,18,24,28,32,75%,75%,33.3%,163
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,17,Not Moist,32,1st,8.7,107,102,209,124,98,"54,611","49,141","5,470",510.38,"5,886",10,0,1.15,2.31,93,27h 53m 24s,13m 4s,1,3,6,10,20,31,32,62.5%,50%,10%,108
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,18,o7,32,1st,13.3,100,70,170,115,104,"42,105","41,576",529,421.05,868,12,6,1.08,2.12,93,18h 55m 56s,7m 22s,3,4,5,6,10,14,32,31.3%,60%,50%,97
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,19,REJECT WINNITY,32,1st,8.6,137,135,272,168,93,"73,235","48,887","24,348",534.56,"2,149",17,4,1.67,3.62,82,27h 17m 37s,10m 35s,6,9,9,12,19,25,32,59.4%,63.2%,50%,160
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,20,Serenity,32,1st,8.8,83,114,197,96,105,"51,107","49,280","1,827",615.75,"2,023",13,2,0.87,1.68,95,27h 42m 46s,12m 20s,1,5,8,14,19,27,32,59.4%,73.7%,7.1%,77
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,82,team_stats,Scores,21,Never To Change,24,3rd,15.2,22,22,44,30,78,"19,335","27,755","-8,420",878.86,700,7,0,0.31,0.63,72,13h 44m 21s,8m 56s,0,0,1,1,5,11,24,20.8%,20%,0%,23
