event_slug,event_name,split,league,region,day,group,stage,game_label,game_number,map_name,game_id,stats_url,replay_url,title,source_url,source_scope,table_index,table_type,table_heading,row_number,legend,pick_rate_pct,avg_placement,win_rate_pct,top_5_rate_pct,top_7_conversion_rate_pct,fwr_pct,total_occurrences
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #2,2,Storm Point,cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/game/cb809251d2cf744346f7fdbd42e4c6df,A vs. B - Game #2 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,game,1,legend_meta,Scores,2,Bloodhound,85%,11.1,0%,23.5%,0%,48.7%,17
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #2,2,Storm Point,cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/game/cb809251d2cf744346f7fdbd42e4c6df,A vs. B - Game #2 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,game,1,legend_meta,Scores,3,Caustic,45%,9.1,0%,44.4%,0%,48.4%,9
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #2,2,Storm Point,cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/game/cb809251d2cf744346f7fdbd42e4c6df,A vs. B - Game #2 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,game,1,legend_meta,Scores,4,Conduit,25%,11.4,20%,20%,100%,57.9%,5
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #2,2,Storm Point,cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/game/cb809251d2cf744346f7fdbd42e4c6df,A vs. B - Game #2 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,game,1,legend_meta,Scores,5,Horizon,25%,10.8,20%,20%,100%,62.8%,5
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #2,2,Storm Point,cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/game/cb809251d2cf744346f7fdbd42e4c6df,A vs. B - Game #2 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,game,1,legend_meta,Scores,6,Crypto,10%,10,0%,0%,0%,33.3%,2
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #2,2,Storm Point,cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/game/cb809251d2cf744346f7fdbd42e4c6df,A vs. B - Game #2 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,game,1,legend_meta,Scores,7,Wattson,10%,10.5,0%,0%,0%,0%,2
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #2,2,Storm Point,cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,https://apexlegendsstatus.com/algs/game/cb809251d2cf744346f7fdbd42e4c6df,A vs. B - Game #2 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb809251d2cf744346f7fdbd42e4c6df,game,1,legend_meta,Scores,8,Lifeline,10%,15.5,0%,0%,0%,50%,2
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #3,3,Storm Point,cb7cc7a3e0ef7a1a7ed051803ba87e58,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb7cc7a3e0ef7a1a7ed051803ba87e58,https://apexlegendsstatus.com/algs/game/cb7cc7a3e0ef7a1a7ed051803ba87e58,A vs. B - Game #3 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb7cc7a3e0ef7a1a7ed051803ba87e58,game,1,legend_meta,Scores,1,Bangalore,90%,10.3,5.6%,27.8%,14.3%,50.8%,18
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #3,3,Storm Point,cb7cc7a3e0ef7a1a7ed051803ba87e58,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb7cc7a3e0ef7a1a7ed051803ba87e58,https://apexlegendsstatus.com/algs/game/cb7cc7a3e0ef7a1a7ed051803ba87e58,A vs. B - Game #3 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb7cc7a3e0ef7a1a7ed051803ba87e58,game,1,legend_meta,Scores,2,Bloodhound,80%,10.2,6.3%,31.3%,14.3%,55.6%,16
playoffs_split1,ALGS Year 4 Split 1 Playoffs,Y4-Split1,ALGS-Playoffs,Global,Day1,AvB,A vs. B,Game #3,3,Storm Point,cb7cc7a3e0ef7a1a7ed051803ba87e58,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb7cc7a3e0ef7a1a7ed051803ba87e58,https://apexlegendsstatus.com/algs/game/cb7cc7a3e0ef7a1a7ed051803ba87e58,A vs. B - Game #3 - Storm Point,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Day1/AvB/cb7cc7a3e0ef7a1a7ed051803ba87e58,game,1,legend_meta,Scores,3,Caustic,50%,9.9,0%,30%,0%,43.1%,10
