event_slug,event_name,overview_url,split,league,region,day,group,game_id,source_url,source_scope,weapon_key,weapon,kills,damage,knockdowns,times_knocked,fwr_pct,shots,hits,accuracy,playtime,playtime_seconds,max_kill_range,max_damage_range,icon,stage,game_label,game_number,map_name,stats_url,replay_url,title,category,total_kills,total_damage,kill_share_pct,damage_share_pct
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Wingman,Wingman,35,14393,62.0,,,,297.0,-,0h 0m 0s,0,133.24,159.21,Wingman_Icon.svg,,,,,,,,Precision,3276,1795574,1.0683760683760684,0.8015821124609734
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,EVA-8,EVA-8 Auto,18,4140,29.0,,,,672.0,-,0h 0m 0s,0,22.92,48.23,EVA-8_Auto_Icon.svg,,,,,,,,Shotgun,3276,1795574,0.5494505494505495,0.2305669384831814
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Fall,Fall,0,5000,,,,,1.0,-,0h 0m 0s,0,0.0,881.51,damage.svg,,,,,,,,Other,3276,1795574,0.0,0.2784624860907988
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Melee,Melee,1,819,5.0,,,,30.0,-,0h 0m 0s,0,0.81,4.34,Melee.svg,,,,,,,,Other,3276,1795574,0.030525030525030524,0.04561215522167285
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Mozambique (Akimbo),Mozambique (Akimbo),2,116,2.0,,,,8.0,-,0h 0m 19s,19,4.11,8.89,Mozambique_Shotgun_Akimbo_Icon.svg,,,,,,,,Shotgun/Akimbo,3276,1795574,0.06105006105006105,0.006460329677306533
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Mastiff,Mastiff Shotgun,29,9542,54.0,40.0,57.45,382.0,888.0,-,1h 19m 24s,4764,24.44,50.99,Mastiff_Shotgun_Icon.svg,,,,,,,,Shotgun,3276,1795574,0.8852258852258852,0.5314178084556804
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,30-30,30-30 Repeater,99,103843,187.0,37.0,83.48,16214.0,2554.0,15.75%,26h 56m 56s,97016,385.59,389.74,30-30_Repeater_Icon.svg,,,,,,,,Precision,3276,1795574,3.021978021978022,5.783275988625364
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,R-99,R-99 SMG,37,12507,62.0,42.0,59.62,5760.0,1235.0,21.44%,2h 35m 12s,9312,60.59,103.02,R-99_SMG_Icon.svg,,,,,,,,SMG,3276,1795574,1.1294261294261294,0.6965460627075242
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,Nemesis,Nemesis Burst AR,203,149036,364.0,113.0,76.31,63597.0,10526.0,16.55%,37h 27m 54s,134874,189.12,341.92,Nemesis_Burst_AR_Icon.svg,,,,,,,,AR,3276,1795574,6.196581196581197,8.300187015405658
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,TripleTake,Triple Take,47,55401,89.0,31.0,74.17,5639.0,2759.0,48.93%,14h 59m 8s,53948,203.12,351.02,Triple_Take_Icon.svg,,,,,,,,Precision,3276,1795574,1.4346764346764347,3.085420038383269
playoffs_split1,ALGS Year 4 Split 1 Playoffs,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,Y4-Split1,ALGS-Playoffs,Global,Overview,,,https://apexlegendsstatus.com/algs/Y4-Split1/ALGS-Playoffs/Global/Overview,overview,HAVOC,HAVOC Rifle,817,290129,1611.0,824.0,66.16,88348.0,18234.0,20.64%,47h 21m 42s,170502,147.75,300.88,HAVOC_Rifle_Icon.svg,,,,,,,,AR,3276,1795574,24.93894993894994,16.158008525407475
