event_slug,composition_count,top1_composition,top1_composition_pct,top3_composition_pct,top5_composition_pct,top1_to_top3_gap_pct,top3_to_top5_gap_pct,non_top5_composition_count,non_top5_weighted_top5_rate_pct,non_top5_weighted_win_rate_pct,concentration_type,top_legend,top_legend_pick_rate_pct,dominant_class,dominant_class_slot_pct,support_slot_pct,recon_slot_pct,controller_slot_pct,bangalore_pick_rate_pct,bloodhound_pick_rate_pct,caustic_pick_rate_pct,crypto_pick_rate_pct,wattson_pick_rate_pct,gibraltar_pick_rate_pct,newcastle_pick_rate_pct,rampart_pick_rate_pct,mad_maggie_pick_rate_pct,top_weapon_category,top_weapon_category_kill_share_pct,top_weapon_category_damage_share_pct,top_weapon,top_weapon_kill_share_pct,top_weapon_damage_share_pct,top_weapon_fwr_pct,havoc_kill_share_pct,hemlok_kill_share_pct,mozambique_akimbo_kill_share_pct,mastiff_kill_share_pct,peacekeeper_kill_share_pct,deaths_per_game,respawns_per_game,revives_per_game,deaths_above_60,edge_team_share_pct,edge_ppg,zone_team_share_pct,zone_ppg,hybrid_team_share_pct,hybrid_ppg,low_unstable_team_share_pct,low_unstable_ppg,overall_risk_level,weapon_role_binding_proxy
playoffs_split1,44,"Bangalore, Bloodhound, Caustic",53.15,70.24,79.10999999999999,17.089999999999996,8.86999999999999,39,20.461776061776064,1.9262548262548265,one_core_many_options,Bangalore,88.63,Recon,91.21,17.5,91.21,73.55,88.63,87.02,57.82,4.19,12.26,0.73,0.97,2.58,0.16,AR,57.46577523081821,58.71570753255848,HAVOC Rifle,24.93894993894994,16.158008525407475,66.16,24.93894993894994,19.017094017094017,0.061050061050061,0.8852258852258852,2.167277167277167,59.83870967741935,2.725806451612903,8.774193548387096,-0.1612903225806451,32.5,4.536968623481782,32.5,6.1329453441295545,17.5,6.800360275689223,17.5,4.107330827067669,high,no_single_binding_proxy
midseason_ewc_split1,34,"Bangalore, Pathfinder, Wattson",18.19,47.72,71.1,29.529999999999998,23.379999999999995,29,19.391472868217054,4.267054263565891,open_or_testing,Bangalore,97.68,Assault,136.3,6.26,57.17,50.2,97.68,10.63,0.0,12.52,48.66,0.59,0.12,0.0,0.0,AR,67.70301624129931,64.24468698391995,HAVOC Rifle,33.914988814317674,22.66088714682443,62.26,33.914988814317674,21.073825503355703,0.0,0.0894854586129754,0.8053691275167785,58.23255813953488,2.395348837209302,9.767441860465116,-1.7674418604651163,27.5,4.859623907054737,32.5,6.49857606161954,22.5,5.94951690821256,17.5,3.3161490683229817,high,ar_stability_core_proxy
playoffs_split2,34,"Bangalore, Crypto, Wattson",36.72,65.7,79.38,28.980000000000004,13.679999999999993,29,21.547727272727276,3.078409090909091,moderate_convergence,Bangalore,79.06,Assault,93.91,38.989999999999995,71.64,69.3,79.06,0.16,0.47,71.48,50.86,0.0,38.91,0.0,0.94,Shotgun/Akimbo,34.30335097001764,20.148597046896064,Mozambique (Akimbo),33.17225696418419,19.29619926159321,60.55,8.158044343376918,9.522455940875496,33.17225696418419,6.139852188743604,0.7959067652075043,60.109375,3.921875,10.328125,0.109375,30.0,4.339419934640523,32.5,6.581711915535445,20.0,6.72297794117647,17.5,3.567857142857143,medium,akimbo_ruleset_proxy
championship_split2,16,"Gibraltar, Newcastle, Rampart",65.65,91.45000000000002,97.39000000000004,25.80000000000001,5.940000000000026,11,8.341666666666665,0.0,single_dominant,Gibraltar,99.78,Support,202.32,202.32,0.07,86.37,0.29,0.0,0.43,0.0,0.14,99.78,95.8,69.42,0.51,Shotgun,64.99406175771972,30.026592277271572,Mastiff Shotgun,30.78677309007982,13.685031121721863,57.98,0.7696693272519954,0.5701254275940707,0.7411630558722919,30.78677309007982,16.191562143671607,60.85507246376812,3.8260869565217392,19.434782608695652,0.855072463768116,30.0,4.705487740713459,30.0,6.449017352916122,20.0,6.460887727183897,20.0,4.005971798379459,critical,shotgun_defensive_reset_proxy
